_id,avg_salary
collija02,1398048.0
collija03,1500817.1
collija04,2847377.5
collijo01,1936920.0
collima01,1192425.5
collini01,4021509.47
collish01,473604.0
colliza01,3057240.0
coltest01,182500.0
comegda01,145000.0
conlemi01,10115923.18
conloma01,438108.8
connapa01,957037.0
connele01,434375.0
conrowi01,42344.0
cookan01,459000.0
cookbr01,1955569.33
cookda01,310000.0
cookda02,1858706.57
cookje01,155855.33
cookom01,292230.0
coopedu01,145000.0
coopemi01,455833.33
coopewa01,768571.43
copato01,160000.0
copelch01,1927151.0
copella01,130000.0
corbity01,889064.29
corchch01,225000.0
corzida01,554285.71
cottobr01,123871.25
cottoja02,351000.0
courtjo01,129386.0
couside01,9906497.25
covinro01,3972759.8
crabbal01,9910444.0
crawfch01,2036500.0
crawfja01,6278698.47
crawfjo02,1011160.67
crispjo01,48705.0
critewi01,112500.0
crittja01,1381560.0
croshau01,4267814.31
crottjo01,469930.92
crowdco01,174327.33
crowdja01,3564521.83
cummipa01,662375.0
cummite01,1600973.33
cummivo01,757200.0
cunnida01,1844441.67
cunnija01,850948.5
cunniwi01,299500.0
curcira01,140000.0
curetea01,212040.0
curlebi01,846020.88
curryde01,1416500.0
curryed01,5837582.75
curryja01,227040.0
currymi01,1444512.2
curryse01,1404342.8
curryst01,10153645.78
cvetkra01,200000.0
dailequ01,357500.0
dalemsa01,6106117.67
dampier01,6122741.94
daniean01,3790416.92
danieer01,385277.0
daniell01,153500.0
daniema01,3669735.2
danietr01,2126304.5
danilsa01,1673500.0
dantlad01,813000.0
dareyi01,1442500.0
datomlu01,1750000.0
daughbr01,2389333.33
davidje01,424944.0
davidko01,247235.25
davisan01,6749230.77
davisan02,11515044.33
davisba01,9846198.87
davisbe01,178443.2
davisbr01,361350.0
davisbr02,150000.0
davisch02,120000.0
davisda01,4830122.38
davisde01,1340920.0
davised01,3792922.75
davisem01,534580.83
davisgl01,3818518.33
davishu01,1400041.67
davisjo01,387500.0
davisjo02,225418.0
davisma02,176040.0
davispa01,377269.5
davisri01,3572743.33
daviste01,1274522.73
daviswa03,687857.14
dawkian01,59686.0
dawkida01,683500.0
dawkijo01,1230000.0
dawsobr01,525093.0
dawsoer01,38172.0
dayeau01,1500804.57
dayeda01,107500.0
dayto01,1514906.25
declean01,1790850.0
decolna01,1431500.0
dedmode01,2665440.0
deherte01,894291.67
dejeabr01,281659.0
dekkesa01,1720520.0
delanma01,2500000.0
delebi01,2739000.0
delfica01,1855925.92
delkto01,1991168.0
dellama01,5294690.5
delnevi01,1625467.45
dembofe01,100000.0
dempsde01,225000.0
denglu01,9765256.93
derozde01,10387316.11
dialde01,324650.0
diallch01,928041.0
diawaya01,730043.5
diawbo01,5776137.21
diazgu01,56065.0
dickada01,1632200.57
dickeka01,261037.75
dickemi01,2852193.67
dienetr01,1184594.2
dienggo01,4140340.6
dinwisp01,949009.0
dioguik01,1554603.43
diopde01,3918673.67
divacvl01,5820039.69
dixonju01,1768479.71
doleami01,1984017.6
donalja01,640833.33
doolike01,2343925.46
dorsejo01,903094.6
dorsety01,815615.0
dotsoda01,1100000.0
doubyqu01,1021849.75
douglch01,604187.0
douglsh01,1985770.83
douglto01,1057572.22
dowdeza01,242374.0
dragigo01,7778645.0
dragizo01,2006250.0
dreilgr01,328437.5
drewbr01,1174193.33
drewjo01,250000.0
drewla01,610000.0
drewla02,94054.33
drexlcl01,2395923.08
drobnpr01,1513742.75
drumman01,9425237.83
duckwke01,1824700.0
dudlech02,2553666.67
dudleja01,4321638.91
duhonch01,3307407.7
dukandu01,525093.0
dumarjo01,1528780.0
dumasri02,555000.0
dumasto01,1015000.0
duncati01,11593888.33
dunlemi01,200000.0
dunlemi02,5282073.5
dunnkr01,3959640.0
dunntr01,287500.0
duprero01,599037.8
duranke01,14564456.18
durhapa01,126000.0
eacklle01,508000.0
earlac01,1040000.0
earlycl01,676197.5
eatonma01,1019666.67
ebankde01,763396.0
ebind01,698580.0
eddieja01,175489.83
eddiepa01,130000.0
edneyty01,345250.0
edwarbl01,1208500.0
edwarco01,319498.0
edwardo01,972916.67
edwarfr01,100000.0
edwarja01,661272.73
edwarjo01,821759.0
edwarke01,1267500.0
ehlocr01,814320.23
eisleho01,2659076.21
ekeziob01,488726.0
elamikh01,391409.5
eliema01,1180272.73
ellenhe01,1742460.0
ellinwa01,2131328.83
elliose01,3535555.5
ellisda01,1267046.88
ellisha01,250000.0
ellisla01,2539909.09
ellisle02,243333.33
ellismo01,7427613.92
ellispe01,2012500.0
elsonfr01,1395386.56
elyme01,1710378.12
embiijo01,4995256.5
emmetan01,362819.33
englech01,125000.0
englewa01,100000.0
engliaj01,261200.0
englial01,1266428.57
englijo01,50000.0
engliki01,473604.0
ennisja01,1470673.8
ennisty01,1627816.25
erdense01,617899.5
ervinju01,1269500.0
eschmev01,2429070.86
esposvi01,500000.0
